iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
93,2026-09-18T00:25:47.754176,10,0.07,0.06,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
94,2026-09-18T00:25:48.020351,10,0.07,0.06,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
95,2026-09-18T00:25:48.278158,10,0.07,0.06,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
96,2026-09-18T00:25:48.545243,10,0.07,0.06,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
97,2026-09-18T00:25:48.784679,10,0.09,0.02,1.5,60,759,4.08,458.03,4242.33,759.0,-4543.3,-96.57,-80.38,-44.51,-15.58,False,
98,2026-09-18T00:25:49.028465,10,0.09,0.02,1.5,120,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
99,2026-09-18T00:25:49.265970,10,0.09,0.02,1.5,180,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
100,2026-09-18T00:25:49.501247,10,0.09,0.02,1.5,240,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
101,2026-09-18T00:25:49.762382,10,0.09,0.02,2.0,60,174,5.17,189.83,1214.31,174.0,-1198.48,-50.68,-28.56,-11.61,-13.91,False,
102,2026-09-18T00:25:50.029065,10,0.09,0.02,2.0,120,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
103,2026-09-18T00:25:50.290916,10,0.09,0.02,2.0,180,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
104,2026-09-18T00:25:50.553025,10,0.09,0.02,2.0,240,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
105,2026-09-18T00:25:50.812894,10,0.09,0.02,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
106,2026-09-18T00:25:51.080463,10,0.09,0.02,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
107,2026-09-18T00:25:51.344114,10,0.09,0.02,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
108,2026-09-18T00:25:51.610849,10,0.09,0.02,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
109,2026-09-18T00:25:51.868544,10,0.09,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
110,2026-09-18T00:25:52.134541,10,0.09,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
111,2026-09-18T00:25:52.403173,10,0.09,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
112,2026-09-18T00:25:52.672706,10,0.09,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
113,2026-09-18T00:25:52.908480,10,0.09,0.04,1.5,60,759,4.08,458.03,4242.33,759.0,-4543.3,-96.57,-80.38,-44.51,-15.58,False,
114,2026-09-18T00:25:53.146511,10,0.09,0.04,1.5,120,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
115,2026-09-18T00:25:53.385978,10,0.09,0.04,1.5,180,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
116,2026-09-18T00:25:53.623582,10,0.09,0.04,1.5,240,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
117,2026-09-18T00:25:53.879936,10,0.09,0.04,2.0,60,174,5.17,189.83,1214.31,174.0,-1198.48,-50.68,-28.56,-11.61,-13.91,False,
118,2026-09-18T00:25:54.141990,10,0.09,0.04,2.0,120,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
119,2026-09-18T00:25:54.402109,10,0.09,0.04,2.0,180,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
120,2026-09-18T00:25:54.666660,10,0.09,0.04,2.0,240,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
121,2026-09-18T00:25:54.921671,10,0.09,0.04,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
122,2026-09-18T00:25:55.190257,10,0.09,0.04,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
123,2026-09-18T00:25:55.457086,10,0.09,0.04,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
124,2026-09-18T00:25:55.719381,10,0.09,0.04,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
125,2026-09-18T00:25:55.984509,10,0.09,0.04,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
126,2026-09-18T00:25:56.248219,10,0.09,0.04,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
127,2026-09-18T00:25:56.516224,10,0.09,0.04,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
128,2026-09-18T00:25:56.782227,10,0.09,0.04,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
129,2026-09-18T00:25:57.021896,10,0.09,0.06,1.5,60,759,4.08,458.03,4242.33,759.0,-4543.3,-96.57,-80.38,-44.51,-15.58,False,
130,2026-09-18T00:25:57.260986,10,0.09,0.06,1.5,120,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
131,2026-09-18T00:25:57.498431,10,0.09,0.06,1.5,180,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
132,2026-09-18T00:25:57.730018,10,0.09,0.06,1.5,240,757,4.23,473.14,4239.98,757.0,-4523.85,-96.5,-78.81,-44.31,-15.57,False,
133,2026-09-18T00:25:57.988641,10,0.09,0.06,2.0,60,174,5.17,189.83,1214.31,174.0,-1198.48,-50.68,-28.56,-11.61,-13.91,False,
134,2026-09-18T00:25:58.247377,10,0.09,0.06,2.0,120,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
135,2026-09-18T00:25:58.501065,10,0.09,0.06,2.0,180,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
136,2026-09-18T00:25:58.759696,10,0.09,0.06,2.0,240,174,5.75,205.53,1216.14,174.0,-1184.62,-50.24,-28.55,-11.47,-13.91,False,
137,2026-09-18T00:25:59.016113,10,0.09,0.06,2.5,60,59,8.47,98.43,429.96,59.0,-390.53,-19.62,-17.73,-3.74,-11.89,False,
138,2026-09-18T00:25:59.283527,10,0.09,0.06,2.5,120,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
139,2026-09-18T00:25:59.551384,10,0.09,0.06,2.5,180,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
140,2026-09-18T00:25:59.813364,10,0.09,0.06,2.5,240,59,10.17,114.26,430.81,59.0,-375.55,-18.9,-16.35,-3.59,-11.49,False,
141,2026-09-18T00:26:00.083454,10,0.09,0.06,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
142,2026-09-18T00:26:00.344699,10,0.09,0.06,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
143,2026-09-18T00:26:00.612532,10,0.09,0.06,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
144,2026-09-18T00:26:00.873385,10,0.09,0.06,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
145,2026-09-18T00:26:01.116061,10,0.12,0.02,1.5,60,753,4.12,458.75,4218.9,753.0,-4513.14,-96.46,-78.84,-44.2,-15.57,False,
146,2026-09-18T00:26:01.365715,10,0.12,0.02,1.5,120,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
147,2026-09-18T00:26:01.605466,10,0.12,0.02,1.5,180,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
148,2026-09-18T00:26:01.837554,10,0.12,0.02,1.5,240,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
149,2026-09-18T00:26:02.102110,10,0.12,0.02,2.0,60,172,5.23,189.8,1201.34,172.0,-1183.54,-50.2,-27.44,-11.46,-13.78,False,
150,2026-09-18T00:26:02.368604,10,0.12,0.02,2.0,120,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
151,2026-09-18T00:26:02.631262,10,0.12,0.02,2.0,180,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
152,2026-09-18T00:26:02.887672,10,0.12,0.02,2.0,240,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
153,2026-09-18T00:26:03.158705,10,0.12,0.02,2.5,60,58,8.62,98.47,422.86,58.0,-382.39,-19.23,-16.99,-3.66,-11.67,False,
154,2026-09-18T00:26:03.423894,10,0.12,0.02,2.5,120,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
155,2026-09-18T00:26:03.690371,10,0.12,0.02,2.5,180,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
156,2026-09-18T00:26:03.943924,10,0.12,0.02,2.5,240,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
157,2026-09-18T00:26:04.210750,10,0.12,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
158,2026-09-18T00:26:04.478976,10,0.12,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
159,2026-09-18T00:26:04.737945,10,0.12,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
160,2026-09-18T00:26:05.005931,10,0.12,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
161,2026-09-18T00:26:05.242663,10,0.12,0.04,1.5,60,753,4.12,458.75,4218.9,753.0,-4513.14,-96.46,-78.84,-44.2,-15.57,False,
162,2026-09-18T00:26:05.481833,10,0.12,0.04,1.5,120,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
163,2026-09-18T00:26:05.717539,10,0.12,0.04,1.5,180,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
164,2026-09-18T00:26:05.951965,10,0.12,0.04,1.5,240,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
165,2026-09-18T00:26:06.213849,10,0.12,0.04,2.0,60,172,5.23,189.8,1201.34,172.0,-1183.54,-50.2,-27.44,-11.46,-13.78,False,
166,2026-09-18T00:26:06.473263,10,0.12,0.04,2.0,120,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
167,2026-09-18T00:26:06.729881,10,0.12,0.04,2.0,180,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
168,2026-09-18T00:26:06.987595,10,0.12,0.04,2.0,240,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
169,2026-09-18T00:26:07.251393,10,0.12,0.04,2.5,60,58,8.62,98.47,422.86,58.0,-382.39,-19.23,-16.99,-3.66,-11.67,False,
170,2026-09-18T00:26:07.497839,10,0.12,0.04,2.5,120,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
171,2026-09-18T00:26:07.758794,10,0.12,0.04,2.5,180,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
172,2026-09-18T00:26:08.025003,10,0.12,0.04,2.5,240,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
173,2026-09-18T00:26:08.281347,10,0.12,0.04,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
174,2026-09-18T00:26:08.549557,10,0.12,0.04,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
175,2026-09-18T00:26:08.809596,10,0.12,0.04,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
176,2026-09-18T00:26:09.073301,10,0.12,0.04,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
177,2026-09-18T00:26:09.308937,10,0.12,0.06,1.5,60,753,4.12,458.75,4218.9,753.0,-4513.14,-96.46,-78.84,-44.2,-15.57,False,
178,2026-09-18T00:26:09.548401,10,0.12,0.06,1.5,120,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
179,2026-09-18T00:26:09.783725,10,0.12,0.06,1.5,180,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
180,2026-09-18T00:26:10.020936,10,0.12,0.06,1.5,240,750,4.27,474.21,4212.67,750.0,-4488.46,-96.37,-76.82,-43.95,-15.55,False,
181,2026-09-18T00:26:10.279129,10,0.12,0.06,2.0,60,172,5.23,189.8,1201.34,172.0,-1183.54,-50.2,-27.44,-11.46,-13.78,False,
182,2026-09-18T00:26:10.541467,10,0.12,0.06,2.0,120,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
183,2026-09-18T00:26:10.799480,10,0.12,0.06,2.0,180,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
184,2026-09-18T00:26:11.061691,10,0.12,0.06,2.0,240,172,5.81,206.03,1203.21,172.0,-1169.18,-49.74,-27.4,-11.32,-13.78,False,
185,2026-09-18T00:26:11.323120,10,0.12,0.06,2.5,60,58,8.62,98.47,422.86,58.0,-382.39,-19.23,-16.99,-3.66,-11.67,False,
186,2026-09-18T00:26:11.589827,10,0.12,0.06,2.5,120,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
187,2026-09-18T00:26:11.848383,10,0.12,0.06,2.5,180,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
188,2026-09-18T00:26:12.115007,10,0.12,0.06,2.5,240,58,10.34,114.84,423.73,58.0,-366.88,-18.48,-15.63,-3.5,-11.25,False,
189,2026-09-18T00:26:12.378637,10,0.12,0.06,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
190,2026-09-18T00:26:12.636231,10,0.12,0.06,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
191,2026-09-18T00:26:12.890522,10,0.12,0.06,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
192,2026-09-18T00:26:13.152246,10,0.12,0.06,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
193,2026-09-18T00:26:13.396076,10,0.15,0.02,1.5,60,752,4.12,458.97,4215.03,752.0,-4508.06,-96.44,-78.6,-44.15,-15.57,False,
194,2026-09-18T00:26:13.638994,10,0.15,0.02,1.5,120,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
195,2026-09-18T00:26:13.874264,10,0.15,0.02,1.5,180,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
196,2026-09-18T00:26:14.113844,10,0.15,0.02,1.5,240,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
197,2026-09-18T00:26:14.363708,10,0.15,0.02,2.0,60,171,5.26,189.86,1194.88,171.0,-1176.02,-49.96,-27.13,-11.39,-13.74,False,
198,2026-09-18T00:26:14.618481,10,0.15,0.02,2.0,120,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
199,2026-09-18T00:26:14.866426,10,0.15,0.02,2.0,180,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
200,2026-09-18T00:26:15.120186,10,0.15,0.02,2.0,240,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
201,2026-09-18T00:26:15.378932,10,0.15,0.02,2.5,60,57,8.77,98.5,415.78,57.0,-374.28,-18.84,-16.4,-3.58,-11.47,False,
202,2026-09-18T00:26:15.633924,10,0.15,0.02,2.5,120,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
203,2026-09-18T00:26:15.889338,10,0.15,0.02,2.5,180,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
204,2026-09-18T00:26:16.144826,10,0.15,0.02,2.5,240,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
205,2026-09-18T00:26:16.407294,10,0.15,0.02,3.0,60,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
206,2026-09-18T00:26:16.667370,10,0.15,0.02,3.0,120,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
207,2026-09-18T00:26:16.924072,10,0.15,0.02,3.0,180,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
208,2026-09-18T00:26:17.179688,10,0.15,0.02,3.0,240,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
209,2026-09-18T00:26:17.409355,10,0.15,0.04,1.5,60,752,4.12,458.97,4215.03,752.0,-4508.06,-96.44,-78.6,-44.15,-15.57,False,
210,2026-09-18T00:26:17.636657,10,0.15,0.04,1.5,120,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
211,2026-09-18T00:26:17.860754,10,0.15,0.04,1.5,180,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
212,2026-09-18T00:26:18.100675,10,0.15,0.04,1.5,240,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
213,2026-09-18T00:26:18.352953,10,0.15,0.04,2.0,60,171,5.26,189.86,1194.88,171.0,-1176.02,-49.96,-27.13,-11.39,-13.74,False,
214,2026-09-18T00:26:18.615557,10,0.15,0.04,2.0,120,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
215,2026-09-18T00:26:18.869488,10,0.15,0.04,2.0,180,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
216,2026-09-18T00:26:19.129022,10,0.15,0.04,2.0,240,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
217,2026-09-18T00:26:19.395723,10,0.15,0.04,2.5,60,57,8.77,98.5,415.78,57.0,-374.28,-18.84,-16.4,-3.58,-11.47,False,
218,2026-09-18T00:26:19.662531,10,0.15,0.04,2.5,120,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
219,2026-09-18T00:26:19.924960,10,0.15,0.04,2.5,180,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
220,2026-09-18T00:26:20.191824,10,0.15,0.04,2.5,240,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
221,2026-09-18T00:26:20.453291,10,0.15,0.04,3.0,60,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
222,2026-09-18T00:26:20.720623,10,0.15,0.04,3.0,120,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
223,2026-09-18T00:26:20.983540,10,0.15,0.04,3.0,180,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
224,2026-09-18T00:26:21.251740,10,0.15,0.04,3.0,240,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
225,2026-09-18T00:26:21.491863,10,0.15,0.06,1.5,60,752,4.12,458.97,4215.03,752.0,-4508.06,-96.44,-78.6,-44.15,-15.57,False,
226,2026-09-18T00:26:21.827871,10,0.15,0.06,1.5,120,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
227,2026-09-18T00:26:22.067654,10,0.15,0.06,1.5,180,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
228,2026-09-18T00:26:22.308836,10,0.15,0.06,1.5,240,749,4.27,474.43,4208.79,749.0,-4483.36,-96.35,-76.61,-43.9,-15.55,False,
229,2026-09-18T00:26:22.573944,10,0.15,0.06,2.0,60,171,5.26,189.86,1194.88,171.0,-1176.02,-49.96,-27.13,-11.39,-13.74,False,
230,2026-09-18T00:26:22.832182,10,0.15,0.06,2.0,120,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
231,2026-09-18T00:26:23.095441,10,0.15,0.06,2.0,180,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
232,2026-09-18T00:26:23.348803,10,0.15,0.06,2.0,240,171,5.85,206.09,1196.74,171.0,-1161.65,-49.49,-27.1,-11.24,-13.74,False,
233,2026-09-18T00:26:23.616545,10,0.15,0.06,2.5,60,57,8.77,98.5,415.78,57.0,-374.28,-18.84,-16.4,-3.58,-11.47,False,
234,2026-09-18T00:26:23.876948,10,0.15,0.06,2.5,120,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
235,2026-09-18T00:26:24.144982,10,0.15,0.06,2.5,180,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
236,2026-09-18T00:26:24.406949,10,0.15,0.06,2.5,240,57,10.53,114.87,416.63,57.0,-358.76,-18.08,-15.1,-3.42,-11.05,False,
237,2026-09-18T00:26:24.675202,10,0.15,0.06,3.0,60,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
238,2026-09-18T00:26:24.935054,10,0.15,0.06,3.0,120,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
239,2026-09-18T00:26:25.200022,10,0.15,0.06,3.0,180,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
240,2026-09-18T00:26:25.468012,10,0.15,0.06,3.0,240,22,4.55,32.07,162.04,22.0,-151.97,-7.96,-10.88,-1.51,-9.2,False,
241,2026-09-18T00:26:25.717306,20,0.05,0.02,1.5,60,583,4.8,422.22,3485.78,583.0,-3646.56,-91.87,-59.37,-35.48,-15.35,False,
242,2026-09-18T00:26:25.962432,20,0.05,0.02,1.5,120,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
243,2026-09-18T00:26:26.207824,20,0.05,0.02,1.5,180,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
244,2026-09-18T00:26:26.448267,20,0.05,0.02,1.5,240,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
245,2026-09-18T00:26:26.717268,20,0.05,0.02,2.0,60,144,6.25,192.14,1018.24,144.0,-970.1,-43.18,-25.96,-9.4,-13.59,False,
246,2026-09-18T00:26:26.975891,20,0.05,0.02,2.0,120,144,6.94,207.89,1019.81,144.0,-955.92,-42.66,-25.38,-9.26,-13.5,False,
247,2026-09-18T00:26:27.239113,20,0.05,0.02,2.0,180,144,6.94,207.89,1019.81,144.0,-955.92,-42.66,-25.38,-9.26,-13.5,False,
248,2026-09-18T00:26:27.501625,20,0.05,0.02,2.0,240,144,6.94,207.89,1019.81,144.0,-955.92,-42.66,-25.38,-9.26,-13.5,False,
249,2026-09-18T00:26:27.763520,20,0.05,0.02,2.5,60,53,9.43,100.35,387.44,53.0,-340.09,-17.58,-15.9,-3.32,-11.31,False,
250,2026-09-18T00:26:28.033338,20,0.05,0.02,2.5,120,53,11.32,116.19,388.23,53.0,-325.04,-16.85,-13.97,-3.17,-10.79,False,
251,2026-09-18T00:26:28.286260,20,0.05,0.02,2.5,180,53,11.32,116.19,388.23,53.0,-325.04,-16.85,-13.97,-3.17,-10.79,False,
252,2026-09-18T00:26:28.551895,20,0.05,0.02,2.5,240,53,11.32,116.19,388.23,53.0,-325.04,-16.85,-13.97,-3.17,-10.79,False,
253,2026-09-18T00:26:28.812748,20,0.05,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
254,2026-09-18T00:26:29.077052,20,0.05,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
255,2026-09-18T00:26:29.340572,20,0.05,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
256,2026-09-18T00:26:29.605100,20,0.05,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
257,2026-09-18T00:26:29.845918,20,0.05,0.04,1.5,60,583,4.8,422.22,3485.78,583.0,-3646.56,-91.87,-59.37,-35.48,-15.35,False,
258,2026-09-18T00:26:30.087080,20,0.05,0.04,1.5,120,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
259,2026-09-18T00:26:30.330756,20,0.05,0.04,1.5,180,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
260,2026-09-18T00:26:30.574130,20,0.05,0.04,1.5,240,581,4.99,437.9,3481.18,581.0,-3624.28,-91.71,-58.3,-35.26,-15.33,False,
261,2026-09-18T00:26:30.831870,20,0.05,0.04,2.0,60,144,6.25,192.14,1018.24,144.0,-970.1,-43.18,-25.96,-9.4,-13.59,False,
262,2026-09-18T00:26:31.094014,20,0.05,0.04,2.0,120,144,6.94,207.89,1019.81,144.0,-955.92,-42.66,-25.38,-9.26,-13.5,False,
263,2026-09-18T00:26:31.354192,20,0.05,0.04,2.0,180,144,6.94,207.89,1019.81,144.0,-955.92,-42.66,-25.38,-9.26,-13.5,False,
