iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
385,2026-09-18T00:27:02.741609,20,0.12,0.02,1.5,60,570,4.91,423.32,3426.12,570.0,-3572.8,-91.32,-56.22,-34.73,-15.29,False,
386,2026-09-18T00:27:02.986770,20,0.12,0.02,1.5,120,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
387,2026-09-18T00:27:03.231996,20,0.12,0.02,1.5,180,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
388,2026-09-18T00:27:03.473624,20,0.12,0.02,1.5,240,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
389,2026-09-18T00:27:03.740322,20,0.12,0.02,2.0,60,141,6.38,192.09,998.24,141.0,-947.15,-42.34,-24.44,-9.17,-13.39,False,
390,2026-09-18T00:27:04.000535,20,0.12,0.02,2.0,120,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
391,2026-09-18T00:27:04.262687,20,0.12,0.02,2.0,180,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
392,2026-09-18T00:27:04.525252,20,0.12,0.02,2.0,240,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
393,2026-09-18T00:27:04.788555,20,0.12,0.02,2.5,60,52,9.62,100.38,380.31,52.0,-331.93,-17.18,-14.81,-3.24,-11.02,False,
394,2026-09-18T00:27:05.053775,20,0.12,0.02,2.5,120,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
395,2026-09-18T00:27:05.314917,20,0.12,0.02,2.5,180,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
396,2026-09-18T00:27:05.563959,20,0.12,0.02,2.5,240,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
397,2026-09-18T00:27:05.811244,20,0.12,0.02,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
398,2026-09-18T00:27:06.068958,20,0.12,0.02,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
399,2026-09-18T00:27:06.329518,20,0.12,0.02,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
400,2026-09-18T00:27:06.596592,20,0.12,0.02,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
401,2026-09-18T00:27:06.836500,20,0.12,0.04,1.5,60,570,4.91,423.32,3426.12,570.0,-3572.8,-91.32,-56.22,-34.73,-15.29,False,
402,2026-09-18T00:27:07.078355,20,0.12,0.04,1.5,120,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
403,2026-09-18T00:27:07.323976,20,0.12,0.04,1.5,180,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
404,2026-09-18T00:27:07.569537,20,0.12,0.04,1.5,240,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
405,2026-09-18T00:27:07.824307,20,0.12,0.04,2.0,60,141,6.38,192.09,998.24,141.0,-947.15,-42.34,-24.44,-9.17,-13.39,False,
406,2026-09-18T00:27:08.086288,20,0.12,0.04,2.0,120,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
407,2026-09-18T00:27:08.339167,20,0.12,0.04,2.0,180,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
408,2026-09-18T00:27:08.601582,20,0.12,0.04,2.0,240,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
409,2026-09-18T00:27:08.858841,20,0.12,0.04,2.5,60,52,9.62,100.38,380.31,52.0,-331.93,-17.18,-14.81,-3.24,-11.02,False,
410,2026-09-18T00:27:09.121384,20,0.12,0.04,2.5,120,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
411,2026-09-18T00:27:09.385646,20,0.12,0.04,2.5,180,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
